,game_id,start_time,end_time,time_class,rules,white_username,white_result,black_username,black_result,moves,nMoves
0,372626070,04/10/2012 08:56,04/10/2012 9:30,rapid,chess,4135016,win,721450,resigned,"['e4', 'e6', 'd4', 'd5', 'Nd2', 'Be7', 'Ngf3', 'Nf6', 'e5', 'Nfd7', 'Bd3', 'c5', 'c3', 'Nc6', 'O-O', 'g5', 'dxc5', 'g4', 'Nd4', 'Ndxe5', 'Bc2', 'Bxc5', 'Qe2', 'Rg8', 'b4', 'Nxd4', 'cxd4', 'Bxd4', 'Rb1', 'g3', 'Kh1', 'Qh4', 'fxg3', 'Rxg3', 'Rb3', 'Ng4', 'Nf3', 'Qh5', 'Bd1', 'Be5', 'h3', 'Bc7', 'Nh2', 'Rxb3', 'Nxg4', 'Rxh3+', 'gxh3', 'Qxh3+', 'Kg1', 'f5', 'Rxf5', 'Bb6+', 'Be3', 'd4', 'Ba4+', 'Bd7', 'Bxd7+', 'Kxd7', 'Qb5+', 'Ke7', 'Bg5+', 'Kd6', 'Qe5+', 'Kd7', 'Rf7+', '1-0']",66
1,376650570,11/10/2012 08:21,11/10/2012 9:14,rapid,chess,739049,win,14605082,resigned,"['d4', 'Nf6', 'Nf3', 'g6', 'c4', 'Bg7', 'g3', 'O-O', 'Bg2', 'd6', 'O-O', 'Nc6', 'Nc3', 'a6', 'Qd3', 'Bf5', 'e4', 'Bg4', 'Be3', 'Nd7', 'Ne1', 'e5', 'd5', 'Nd4', 'f3', 'Nc5', 'Qd1', 'Bc8', 'Nc2', 'Nxc2', 'Qxc2', 'a5', 'a3', 'Bd7', 'b4', 'axb4', 'axb4', 'Na6', 'Rab1', 'f5', 'c5', 'Rf7', 'c6', 'bxc6', 'dxc6', 'Be6', 'Rfd1', 'Qf8', 'Nd5', 'Bh6', 'Bxh6', 'Qxh6', 'Qd2', 'Qxd2', 'Rxd2', 'Bxd5', 'exd5', 'Rb8', 'Rdb2', 'Rb6', 'Bf1', 'e4', 'f4', 'Re7', 'Bxa6', 'Rxa6', 'b5', 'Rb6', 'Ra1', 'e3', 'Kf1', 'Rb8', 'Ra7', 'Kf7', 'Ke2', 'Ke8', 'Rb7', 'Ra8', 'b6', 'cxb6', 'Rxe7+', 'Kxe7', 'Rxb6', 'Ra5', 'Rb7+', 'Kf6', 'Rb8', 'Rc5', 'Rd8', 'Rc2+', 'Kxe3', 'Ke7', 'Rd7+', 'Ke8', 'Rxd6', '1-0']",96
2,593979727,05/09/2013 09:50,05/09/2013 9:54,rapid,chess,910775,win,5039436,resigned,"['e4', 'c5', 'Nf3', 'e6', 'd4', 'cxd4', 'Nxd4', 'Nc6', 'Nc3', 'Qc7', 'f4', 'a6', 'Be2', 'Nxd4', 'Qxd4', 'b5', 'Be3', 'Bb7', 'O-O-O', 'Rc8', 'a3', 'Nf6', 'Bf3', 'Bxa3', 'Rd3', 'Be7', 'Rd2', 'b4', 'Na4', 'O-O', 'Nb6', 'Rcd8', 'e5', 'Bxf3', 'gxf3', 'Nh5', 'Nxd7', 'b3', 'Rhd1', 'Qa5', 'cxb3', 'Bb4', 'Kb1', 'Bxd2', 'Rxd2', 'Qb5', 'Qb6', 'Rfe8', 'Nf6+', 'Nxf6', 'Rxd8', 'Rxd8', 'Qxd8+', 'Ne8', 'Bc5', 'h6', 'Ba3', 'Kh7', 'Qe7', 'Kg6', 'h4', 'Qc6', 'h5+', 'Kxh5', 'Qxf7+', 'g6', 'Bf8', 'Qxf3', 'Qxe8', 'Qxb3', 'Qd8', 'Qc4', 'Qd1+', 'Kh4', 'Bxh6', 'a5', 'Bg5+', 'Kg3', 'Qe1+', 'Kg4', 'Qxa5', 'Qf1+', 'Ka2', 'Qc4+', 'Ka3', 'Qd3+', 'b3', '1-0']",88
3,613859708,03/10/2013 08:44,03/10/2013 9:03,rapid,chess,14501848,repetition,24152757,repetition,"['e4', 'Nf6', 'e5', 'Nd5', 'd4', 'd6', 'Nf3', 'g6', 'Bc4', 'c6', 'O-O', 'dxe5', 'Nxe5', 'Bg7', 'Re1', 'O-O', 'Bb3', 'Bf5', 'Nd2', 'Nd7', 'Ndf3', 'Nxe5', 'Nxe5', 'a5', 'a3', 'a4', 'Ba2', 'Be6', 'Qe2', 'Nc7', 'Bxe6', 'Nxe6', 'c3', 'Qd5', 'Nc4', 'Qb5', 'Be3', 'Rad8', 'Rad1', 'Rd5', 'Bc1', 'Rfd8', 'Ne3', 'Qxe2', 'Rxe2', 'R5d7', 'Nc4', 'b5', 'Ne5', 'Rd6', 'Rde1', 'c5', 'dxc5', 'Nxc5', 'Bf4', 'Ne6', 'Bg3', 'Rd1', 'Kf1', 'Bh6', 'Nc6', 'Rxe1+', 'Kxe1', 'Rd7', 'Re5', 'Rb7', 'f3', 'Kf8', 'Bf2', 'Bf4', 'Rd5', 'Bc1', 'Na5', 'Rb8', 'Nc6', 'Rb7', 'Na5', 'Rb8', 'Nc6', 'Rb7', '1/2-1/2']",81
4,634471928,10/31/2013 09:08,31/10/2013 9:38,rapid,chess,3502759,win,1104543,resigned,"['d4', 'Nf6', 'c4', 'e6', 'Nf3', 'c5', 'd5', 'd6', 'Nc3', 'exd5', 'cxd5', 'g6', 'Bf4', 'a6', 'a4', 'Bg7', 'h3', 'Qe7', 'Nd2', 'Nbd7', 'e3', 'Ne5', 'Be2', 'O-O', 'O-O', 'Ne8', 'Bh2', 'f5', 'Re1', 'Nf6', 'Rb1', 'Qc7', 'Bxe5', 'dxe5', 'Nc4', 'e4', 'Qb3', 'Kh8', 'Red1', 'Rb8', 'a5', 'Qf7', 'Na4', 'Nd7', 'Nab6', 'Qe7', 'd6', 'Qf7', 'Qc2', 'f4', 'Bf1', 'fxe3', 'fxe3', 'Nxb6', 'Nxb6', 'Be6', 'Bc4', 'Rbd8', 'Bxe6', 'Qxe6', 'Qxc5', 'Be5', 'd7', 'Qf5', 'Kh1', 'Qg5', 'Rd5', 'Rf5', 'Nc4', 'Bb8', 'Rxf5', 'gxf5', 'Rd1', 'Qg3', 'Nd6', 'Rf8', 'Qc8', 'Qg8', 'Qxf8', 'Qxf8', 'd8=Q', '1-0']",82
5,https://www.chess.com/daily/game/30400944,04/30/2010 03:02,05/02/2010 3:02,daily,chess,2218542,win,5025095,timeout,"['e4', 'e5', 'Nf3', 'Nc6', 'Nc3', '1-0']",6
6,https://www.chess.com/daily/game/30400926,04/11/2010 02:02,07/02/2010 2:02,daily,chess,1661140,timeout,14121310,win,"['e4', 'c5', '0-1']",3
7,1146748428,09/05/2015 19:13,09/05/2015 19:15,bullet,chess,5212510,win,4154029,timeout,"['e4', 'b6', 'd4', 'Bb7', 'Nc3', 'e6', 'Nf3', 'Nf6', 'Bd3', 'c5', 'e5', 'Nd5', 'Ne4', 'd6', 'c4', 'Nc7', 'dxc5', 'bxc5', 'O-O', 'dxe5', 'Nxe5', 'Nc6', 'Nf3', 'Nd4', 'Ne5', 'Bd6', 'Nxd6+', 'Qxd6', 'Bf4', 'Qe7', 'Qg4', 'Nf5', 'Bxf5', 'exf5', 'Qxg7', 'O-O-O', 'Qxf7', 'Qxf7', 'Nxf7', 'Ne6', 'Nxh8', 'Rxh8', 'Be5', 'Rg8', 'g3', 'Nd4', 'Bxd4', 'cxd4', 'Rad1', 'f4', 'Rxd4', 'fxg3', 'fxg3', 'h5', 'Rf7', 'h4', 'Rxh4', 'Re8', 'Kf2', 'Rd8', 'Ke3', 'Re8+', 'Kd2', 'Bg2', 'Rhh7', 'Rd8+', 'Kc3', 'Be4', 'Rhg7', 'Re8', 'Rxa7', 'Kd8', 'Rgd7+', 'Kc8', 'Rac7+', 'Kb8', 'Re7', '1-0']",78
8,1146773175,09/05/2015 19:42,09/05/2015 19:44,bullet,chess,11608765,win,302783,resigned,"['g3', 'e5', 'Bg2', 'd5', 'd3', 'Nf6', 'Bg5', 'Nc6', 'Bxf6', 'gxf6', 'c3', 'Bf5', 'Qb3', 'Na5', 'Qa4+', 'c6', 'b4', '1-0']",18
9,1146774115,09/05/2015 19:45,09/05/2015 19:47,bullet,chess,723916,timeout,14900440,win,"['d4', 'e6', 'c4', 'f5', 'Nc3', 'Nf6', 'f3', 'd6', 'Bg5', 'Be7', 'e3', 'O-O', 'Bd3', 'c6', 'Nge2', 'Qe8', 'Qc2', 'g6', 'O-O-O', 'a5', 'Rdg1', 'Na6', 'a3', 'e5', 'h4', 'Nh5', 'g4', 'fxg4', 'fxg4', 'Ng7', 'Bh6', 'exd4', 'Nxd4', 'Bf6', 'h5', 'g5', 'Bxh7+', 'Kh8', 'Bg6', 'Qxe3+', 'Kb1', 'Qxd4', 'Rd1', 'Qe5', 'Rhe1', 'Qf4', 'Re4', 'Qf3', 'Rxd6', 'Bxg4', 'Rxf6', 'Qxf6', 'Re1', 'Nc5', 'Qe2', 'Bxe2', 'Rxe2', 'Qf1+', 'Ka2', 'Qxe2', '0-1']",61
10,1146776713,09/05/2015 19:47,09/05/2015 19:49,bullet,chess,3521044,win,4113004,checkmated,"['e4', 'e5', 'd4', 'Nc6', 'd5', 'Nce7', 'Nc3', 'Ng6', 'f4', 'h6', 'f5', 'N6e7', 'Nf3', 'a6', 'Nxe5', 'f6', 'Qh5+', 'g6', 'fxg6', 'Bg7', 'Nf7', 'd6', 'Nxd8', 'Kxd8', 'Bc4', 'Bd7', 'O-O', 'b5', 'Bb3', 'Rb8', 'Be3', 'Kc8', 'a4', 'Rb7', 'axb5', 'axb5', 'Ra8+', 'Rb8', 'Rfa1', 'c5', 'dxc6', 'Bxc6', 'Rxb8+', 'Kxb8', 'Nd5', 'Bxd5', 'exd5', 'Kc7', 'Qe2', 'Nf5', 'Qxb5', 'Nxe3', 'Qc6+', 'Kd8', 'Ra8+', 'Ke7', 'Re8#', '1-0']",58
11,1146779863,09/05/2015 19:51,09/05/2015 19:53,bullet,chess,4608780,timeout,12418978,win,"['Nc3', 'e6', 'Nf3', 'd5', 'e4', 'd4', 'Ne2', 'c5', 'c3', 'Nc6', 'cxd4', 'cxd4', 'Qa4', 'Bc5', 'b4', 'Bb6', 'b5', 'Nce7', 'Nexd4', 'Nf6', 'd3', 'O-O', 'Be2', 'a6', 'Qb3', 'e5', 'Nc2', 'a5', 'O-O', 'Be6', 'Qb1', 'Nd7', 'd4', 'exd4', 'Ncxd4', 'Bg4', 'Be3', 'Ng6', 'Nf5', 'Bxe3', 'Nxe3', 'Be6', 'Nd4', 'Qe7', 'Ndf5', 'Bxf5', 'Nxf5', 'Qe5', 'Bf3', 'Nf6', 'Qc1', 'Qxb5', 'Rb1', 'Qd7', 'Rd1', 'Qe6', 'Rxb7', 'Nxe4', 'Re1', 'Qxf5', 'Bxe4', 'Qg4', 'Rb3', 'Rae8', 'Rg3', 'Qh5', 'Bf3', 'Qb5', '0-1']",69
12,1146782546,09/05/2015 19:55,09/05/2015 19:57,bullet,chess,4163109,win,2922029,checkmated,"['e4', 'c6', 'd4', 'd5', 'e5', 'Bf5', 'g4', 'Bg6', 'h4', 'h6', 'h5', 'Bh7', 'e6', 'fxe6', 'Bd3', 'Bxd3', 'Qxd3', 'Kd7', 'Nf3', 'Nf6', 'Ne5+', 'Kc7', 'Nc3', 'Qe8', 'Bf4', 'Kc8', 'O-O-O', 'Nbd7', 'Ng6', 'Rg8', 'f3', 'Nh7', 'Rhe1', 'e5', 'dxe5', 'e6', 'Nxd5', 'cxd5', 'Qc3+', 'Kb8', 'Rd4', 'Nb6', 'a4', 'Be7', 'a5', 'Nc8', 'a6', 'Qc6', 'Qd3', 'b6', 'Nxe7', 'Nxe7', 'Qxh7', 'Qd7', 'Re3', 'Kc7', 'Rc3+', 'Nc6', 'b4', 'b5', 'Rc5', 'Raf8', 'Rxb5', 'Nxd4', 'Rc5+', 'Nc6', 'b5', 'Rh8', 'Qd3', 'Rxf4', 'Rxc6+', 'Qxc6', 'bxc6', 'Kxc6', 'Qc3+', 'Kd7', 'Qa5', 'Rhf8', 'Qb5+', 'Kd8', 'Qb8+', 'Ke7', 'Qxa7+', 'Ke8', 'Qb8+', 'Kf7', 'Qd6', 'Kg8', 'a7', 'R4f7', 'Qxe6', 'Ra8', 'Qxd5', 'Rxa7', 'e6', 'Rfc7', 'e7+', 'Kh7', 'e8=Q', 'Rxc2+', 'Kxc2', 'Rf7', 'Kb3', 'g5', 'Qdxf7#', '1-0']",106
13,1146785662,09/05/2015 19:58,09/05/2015 20:00,bullet,chess,4194950,win,311235,resigned,"['g3', 'e5', 'Bg2', 'f5', 'e3', 'Nf6', 'Ne2', 'd5', 'O-O', 'Be6', 'd4', 'e4', 'c4', 'c6', 'Nbc3', 'Bd6', 'cxd5', 'cxd5', 'Nf4', 'Bf7', 'Qa4+', 'Nc6', 'Nb5', 'Bxf4', 'gxf4', 'O-O', 'Bh3', 'a6', 'Nc3', 'Be6', 'Kh1', 'Kh8', 'Rg1', 'b5', 'Qc2', 'Rc8', 'Qe2', 'Nb4', 'a3', 'Nd3', 'Rg5', 'Qd7', 'b4', 'a5', 'Bd2', 'axb4', 'axb4', 'Nxb4', 'Rb1', 'Nd3', 'Rxb5', 'Rxc3', 'Bxc3', 'Qxb5', 'Bxf5', 'Bxf5', 'Rxf5', 'Qb1+', 'Kg2', 'g6', 'Rg5', 'Qc1', 'Bd2', 'Qc2', 'Kf1', 'Ra8', 'Be1', 'Qc3', 'Bxc3', 'Nc1', 'Qb2', '1-0']",72
14,1146788031,09/05/2015 20:01,09/05/2015 20:03,bullet,chess,5044596,win,4185676,checkmated,"['e4', 'e5', 'Nf3', 'Nc6', 'Bc4', 'Nf6', 'Ng5', 'd5', 'exd5', 'Na5', 'Bb5+', 'c6', 'dxc6', 'bxc6', 'Be2', 'Be7', 'd3', 'O-O', 'Nc3', 'h6', 'Nge4', 'Nxe4', 'dxe4', 'Qxd1+', 'Bxd1', 'Bb7', 'O-O', 'c5', 'b3', 'c4', 'Bb2', 'cxb3', 'axb3', 'Nc6', 'Nd5', 'Bd6', 'Be2', 'Rfe8', 'Bb5', 'a6', 'Ba4', 'Red8', 'Rfd1', 'Nb4', 'c4', 'Nxd5', 'exd5', 'f6', 'Rac1', 'a5', 'c5', 'Bf8', 'd6', 'Rac8', 'c6', 'Ba6', 'd7', 'Rc7', 'Bc3', 'Bb4', 'Bxb4', 'axb4', 'f4', 'exf4', 'Kf2', 'Kf7', 'Rc5', 'Rdxd7', 'Rxd7+', 'Rxd7', 'cxd7', 'Ke7', 'Ra5', 'Bb7', 'Ra7', 'Bc6', 'Bxc6', 'Kd6', 'Ra8', 'Kxc6', 'd8=Q', 'Kb5', 'Qg8', 'Kc5', 'Qxg7', 'Kd4', 'Qxh6', 'Kc3', 'Qxf6+', 'Kxb3', 'Qxf4', 'Kc2', 'Qxb4', 'Kd3', 'Ra3+', 'Kc2', 'Qc3+', 'Kb1', 'Ra1#', '1-0']",100
15,1146790658,09/05/2015 20:04,09/05/2015 20:06,bullet,chess,4132602,win,2078341,checkmated,"['e4', 'd6', 'd4', 'Nf6', 'Nc3', 'g6', 'h4', 'Bg7', 'h5', 'Nxh5', 'g4', 'Nf6', 'g5', 'Nfd7', 'f4', 'e5', 'dxe5', 'dxe5', 'f5', 'Nc6', 'f6', 'Bf8', 'Bc4', 'Nb6', 'Qxd8+', 'Nxd8', 'Bb3', 'Be6', 'Nd5', 'Bd6', 'c4', 'c6', 'Ne3', 'a5', 'a4', 'Bb4+', 'Kf2', 'Nd7', 'Nf3', 'Nc5', 'Bc2', 'b6', 'Nxe5', 'O-O', 'Nf3', 'Ndb7', 'b3', 'Nd6', 'e5', 'Nde4+', 'Kg2', 'Nc3', 'Bb2', 'N5e4', 'Rh4', 'Bf5', 'Nxf5', 'gxf5', 'Rah1', 'Rfd8', 'Rxh7', 'Kf8', 'Rh8#', '1-0']",64
16,1146793129,09/05/2015 20:07,09/05/2015 20:09,bullet,chess,703893,win,2264757,timeout,"['e4', 'c6', 'd4', 'd5', 'e5', 'Bf5', 'g4', 'Bd7', 'f4', 'e6', 'Nf3', 'c5', 'Be3', 'Qb6', 'Nc3', 'Nc6', 'Qd2', 'cxd4', 'Nxd4', 'Nxd4', 'Bxd4', 'Qc7', 'O-O-O', 'a6', 'f5', 'Bb4', 'Bd3', 'Ne7', 'Rhf1', 'O-O-O', 'a3', 'Bxc3', 'Bxc3', 'Kb8', 'Bb4', 'Nc6', 'Bd6', 'Nxe5', 'Bxc7+', 'Kxc7', 'Qf4', 'f6', 'g5', 'exf5', 'gxf6', 'gxf6', 'Bxf5', 'Bxf5', 'Qxf5', 'Kb8', 'Qxf6', 'Rhe8', 'Rfe1', 'Nd7', 'Qd6+', 'Kc8', 'Rxe8', 'Rxe8', 'Qxd5', 'Rd8', 'Qe6', 'Kc7', 'Rd4', 'Rc8', 'Rc4+', 'Kb8', 'Qd6+', '1-0']",68
17,1146795590,09/05/2015 20:09,09/05/2015 20:11,bullet,chess,24126624,checkmated,1210700,win,"['d4', 'd5', 'c4', 'dxc4', 'Nc3', 'c6', 'Bf4', 'Nf6', 'Bd2', 'b5', 'Nf3', 'Bf5', 'e3', 'Nbd7', 'Be2', 'e6', 'O-O', 'Bd6', 'h3', 'O-O', 'Nh2', 'Bxh2+', 'Kxh2', 'Nd5', 'Nxd5', 'exd5', 'g4', 'Bg6', 'f4', 'Be4', 'f5', 'Qc7+', 'Kg1', 'Rfe8', 'Bf3', 'c5', 'Bxe4', 'Rxe4', 'dxc5', 'Nxc5', 'Qf3', 'Rae8', 'g5', 'Nd3', 'Kh1', 'Nxb2', 'f6', 'g6', 'Qf2', 'c3', 'Qh4', 'Rxh4', 'Be1', 'Rxh3+', 'Kg1', 'Qh2#', '0-1']",57
18,1146800292,09/05/2015 20:15,09/05/2015 20:17,bullet,chess,4184424,timeout,11603550,win,"['c4', 'e6', 'Nc3', 'd5', 'e3', 'Nf6', 'Nf3', 'c5', 'b3', 'Nc6', 'Bb2', 'd4', 'exd4', 'cxd4', 'Nb5', 'e5', 'Qe2', 'Bd6', 'Nxd6+', 'Qxd6', 'b4', 'Qxb4', 'Nxe5', 'O-O', 'Rb1', 'Nxe5', 'Qxe5', 'Re8', 'Qxe8+', 'Nxe8', 'Bd3', 'Qc5', 'O-O', 'Be6', 'a3', 'Nd6', 'Rfe1', 'Nxc4', 'Rec1', 'b5', 'a4', 'a6', 'axb5', 'axb5', 'Rc2', 'g6', 'Rbc1', 'Ra4', 'Ba1', 'Rxa1', 'Rxa1', 'Kg7', 'Rac1', 'Qe5', 'h3', 'h5', 'Bxc4', 'bxc4', 'Ra2', 'c3', 'Ra7', 'cxd2', 'Rd1', 'Qe2', 'Raa1', 'Bb3', 'Rxd2', 'Qxd2', 'Rf1', 'Bc4', 'Ra1', 'Qe2', 'Kh2', 'd3', 'Ra7', 'd2', 'Rd7', 'Qe5+', 'g3', 'Qe1', 'Rxd2', 'Qxd2', '0-1']",83
19,1146802361,09/05/2015 20:16,09/05/2015 20:18,bullet,chess,14700204,win,14919311,resigned,"['e4', 'c6', 'd4', 'd5', 'e5', 'Bf5', 'g4', 'Bg6', 'h4', 'h6', 'h5', 'Bh7', 'e6', 'Nf6', 'exf7+', 'Kxf7', 'Bd3', 'Bxd3', 'Qxd3', 'Qd6', 'Nf3', 'Kg8', 'Ne5', 'Nbd7', 'Bf4', 'Nxe5', 'Bxe5', 'Qb4+', 'Nc3', 'Qxb2', 'Rb1', 'Qa3', 'Rxb7', 'e6', 'Bxf6', 'gxf6', 'Qg6+', '1-0']",38
20,1146803279,09/05/2015 20:19,09/05/2015 20:21,bullet,chess,14504928,insufficient,4203593,insufficient,"['g3', 'e5', 'Bg2', 'f5', 'd4', 'e4', 'c4', 'Nf6', 'Nc3', 'c6', 'Bg5', 'd5', 'Bxf6', 'gxf6', 'cxd5', 'cxd5', 'a3', 'Nc6', 'e3', 'Be7', 'Qh5+', 'Kf8', 'Qd1', 'Be6', 'Nge2', 'Bf7', 'b4', 'a5', 'b5', 'Nb8', 'Qb3', 'Qd6', 'Nf4', 'Nd7', 'h4', 'Nb6', 'O-O', 'a4', 'Qb2', 'Nc4', 'Qe2', 'Nxa3', 'Rfc1', 'Nc4', 'Ncxd5', 'Bxd5', 'Nxd5', 'Qxd5', 'Qxc4', 'Qxc4', 'Rxc4', 'a3', 'Bh3', 'Kf7', 'Bxf5', 'Ra5', 'Bxe4', 'Rxb5', 'Ra4', 'Rc8', 'R4xa3', 'Bxa3', 'Rxa3', 'f5', 'Bf3', 'Kf6', 'Ra2', 'Rc3', 'Kg2', 'Rbb3', 'Bd5', 'Rb1', 'Rd2', 'b5', 'Bg8', 'b4', 'Bxh7', 'b3', 'e4', 'Rc2', 'Bxf5', 'Rxd2', 'Kf3', 'Rf1', 'g4', 'Rfxf2+', 'Ke3', 'Rfe2+', 'Kf3', 'b2', 'e5+', 'Ke7', 'Kf4', 'Rf2+', 'Kg5', 'Rxf5+', 'gxf5', 'b1=Q', 'f6+', 'Kf8', 'e6', 'Rg2+', 'Kf4', 'Qf1+', 'Ke5', 'Re2+', 'Kd6', 'Qf4+', 'Kd7', 'Qxf6', 'd5', 'Qe7+', 'Kc6', 'Rxe6+', 'dxe6', 'Qxe6+', 'Kc5', 'Qg4', 'Kd6', 'Qxh4', 'Kd7', 'Qh5', 'Ke6', 'Qg6+', 'Ke5', 'Kf7', 'Kf4', 'Qf6+', 'Ke3', 'Qe6+', 'Kd3', 'Qd6+', 'Kc4', 'Ke6', 'Kb3', 'Ke5', 'Kc2', 'Ke4', 'Kc3', '1/2-1/2']",140
21,1146805752,09/05/2015 20:20,09/05/2015 20:22,bullet,chess,34105732,win,4171314,resigned,"['e4', 'c6', 'd4', 'd5', 'e5', 'Bf5', 'g4', 'Be4', 'f3', 'Bg6', 'h4', 'h6', 'h5', 'Bh7', 'e6', 'Nf6', 'Bd3', 'Bxd3', 'exf7+', 'Kxf7', 'Qxd3', 'Nbd7', 'Ne2', 'e6', 'Nf4', 'Qe7', 'Ng6', 'Qd6', 'Nxh8+', 'Kg8', 'Ng6', 'Be7', 'Bf4', 'e5', 'dxe5', '1-0']",36
22,1146806790,09/05/2015 20:23,09/05/2015 20:25,bullet,chess,4643445,win,22247270,checkmated,"['e4', 'Nf6', 'e5', 'Nd5', 'd4', 'd6', 'c4', 'Nb6', 'f4', 'g6', 'Nf3', 'Bg7', 'Nc3', 'O-O', 'Be3', 'Be6', 'b3', 'Na6', 'Bd3', 'c5', 'd5', 'Bg4', 'Be2', 'Bxf3', 'Bxf3', 'dxe5', 'fxe5', 'Bxe5', 'Rc1', 'Nc8', 'O-O', 'Nd6', 'Ne4', 'b6', 'Bh6', 'Bg7', 'Bxg7', 'Kxg7', 'Ng5', 'h6', 'Nh3', 'Nc7', 'Qd2', 'Rh8', 'Qc3+', 'Kg8', 'Rce1', 'Qf8', 'Nf4', 'Re8', 'Qe3', 'Qg7', 'g4', 'e6', 'dxe6', 'Nxe6', 'Nd5', 'Nd4', 'Qf4', 'Rxe1', 'Rxe1', 'Nxf3+', 'Qxf3', 'Qd4+', 'Kg2', 'Kg7', 'Re7', 'Rf8', 'h3', 'g5', 'Rd7', 'Ne4', 'Nf6', 'Qd2+', 'Rxd2', 'Nxd2', 'Qf5', 'Nf3', 'Nh5+', 'Kg8', 'Kxf3', 'f6', 'Qg6+', 'Kh8', 'Qg7#', '1-0']",86
23,1146808824,09/05/2015 20:25,09/05/2015 20:27,bullet,chess,1172760,checkmated,910953,win,"['e4', 'e6', 'd4', 'd5', 'exd5', 'exd5', 'Nf3', 'Bd6', 'c4', 'c6', 'Nc3', 'Ne7', 'Bd3', 'Bg4', 'O-O', 'Nd7', 'Re1', 'Nf6', 'h3', 'Bh5', 'g4', 'Bg6', 'Ne5', 'Bxd3', 'Qxd3', 'dxc4', 'Nxc4', 'Bc7', 'Bg5', 'Qd7', 'Bxf6', 'gxf6', 'Qe3', 'Kd8', 'Ne4', 'Nd5', 'Qf3', 'h5', 'Nxf6', 'hxg4', 'hxg4', 'Bh2+', 'Kf1', 'Qc7', 'Nxd5', 'cxd5', 'Qxd5+', 'Kc8', 'Rac1', 'Kb8', 'Ne5', 'Bxe5', 'Rxc7', 'Bxc7', 'Kg2', 'a5', 'Rh1', 'Rd8', 'Qc4', 'Ra6', 'Rh7', 'Rc6', 'Qb3', 'Rxd4', 'Rxf7', 'Rxg4+', 'Kf3', 'Rg5', 'Rf8+', 'Ka7', 'Qe3+', 'Rgc5', 'a3', 'Bb6', 'Qe2', 'Rc4', 'Rf7', 'Re6', 'Kg2', 'Rxe2', 'Kf1', 'Rxf2+', 'Ke1', 'Rc1#', '0-1']",85
24,1146810940,09/05/2015 20:26,09/05/2015 20:28,bullet,chess,719269,checkmated,12977144,win,"['d4', 'c5', 'd5', 'e5', 'c4', 'd6', 'e3', 'f5', 'e4', 'Nf6', 'exf5', 'Bxf5', 'Ne2', 'Nbd7', 'Ng3', 'Bg6', 'Nc3', 'Be7', 'Bd3', 'Bxd3', 'Qxd3', 'O-O', 'O-O', 'g6', 'f4', 'a6', 'a3', 'Rb8', 'b4', 'Qc7', 'Be3', 'b5', 'bxc5', 'Nxc5', 'cxb5', 'Nxd3', 'bxa6', 'exf4', 'Rac1', 'fxe3', 'Nce4', 'Qb6', 'Nf5', 'gxf5', 'Kh1', 'Nxe4', 'Rxf5', 'Rxf5', 'Rf1', 'Rxf1#', '0-1']",51
25,1146812043,09/05/2015 20:28,09/05/2015 20:30,bullet,chess,2253321,resigned,928879,win,"['e4', 'Nf6', 'e5', 'Nd5', 'Nc3', 'Nxc3', 'bxc3', 'd5', 'd4', 'c5', 'Nf3', 'Nc6', 'Bd3', 'Bg4', 'Be3', 'e6', 'h3', 'Bxf3', 'Qxf3', 'Qa5', 'O-O', 'Qxc3', 'dxc5', 'Bxc5', 'Bb5', 'O-O', 'Bxc6', 'bxc6', 'Bxc5', 'Qxc5', 'c3', 'Rab8', 'Rfe1', 'Rb2', 'a4', 'Rfb8', 'Rad1', 'R8b3', 'Re3', 'Rb1', 'Rxb1', 'Rxb1+', 'Kh2', 'Rc1', 'Qg3', 'h6', 'f4', 'Qc4', 'f5', 'Qf1', 'Qh4', 'Qxf5', 'Qd8+', 'Kh7', 'Rg3', 'Qf4', '0-1']",57
